issue,title,primary finding,validator comment,status,root cause (URL),size,robotLabel
findings-38,Kakarot precompiles can be abused by malicious contracts by delegate-calling whitelisted contracts,findings-38,"In cairo precompile call, protection by whitelist caller_code_address is not secure ",Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/precompiles/precompiles.cairo#L135,43,:robot:_34_group
findings-36,"In edge cases, user might lose funds when sending l1 to l2 messages due to flaw in L1KakarotMessaging.sol",findings-36,Missing retry mechanism while L1 to L2 message failed,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/697100af34444b3931c18596cec56c454caf28ed/src/kakarot/kakarot.cairo#L370,43,:robot:_primary
validation-163,Insufficient Input Validation for evm_address in compute_starknet_address,validation-163,"Valid but QA, no proof how this would cause H or M issues",Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/account.cairo#L520,45,:robot:_12_group
findings-32,Incorrect totalsupply value will be returned due to erroneous return data decode implementation,findings-61,dup of findings-61,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/solidity_contracts/src/CairoPrecompiles/DualVmToken.sol#L80-L83,45,:robot:_primary
validation-173,Lack of Validation on evm_address in Account Functions,validation-163,dup of validation-163,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/account.cairo#L520,46,:robot:_primary
validation-275,"In L1KakarotMessaging, address alias is applied to all addresses leading to DoS in Kakarot EVM. ",findings-25,name alias for EOA is not needed,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/solidity_contracts/src/L1L2Messaging/L1KakarotMessaging.sol#L35,47,:robot:_05_group
validation-216,Cross-chain `sendMessageToL2` using bridge might fail due to not checking the msg.value passed by the users.,findings-36,dup of findings-36,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/697100af34444b3931c18596cec56c454caf28ed/src/kakarot/kakarot.cairo#L370,47,:robot:_primary
findings-63,"Kakarot precompiles can be called in a staticcall context, allowing writes in view functions",findings-63,state modification in static call should be avoided,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/precompiles/precompiles.cairo#L140,47,:robot:_34_group
findings-52,DualVmToken allows moving native balance with zero-value EVM calls,findings-52,It's a realistic attack path with common use cases,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/solidity_contracts/src/CairoPrecompiles/DualVmToken.sol#L250,47,:robot:_23_group
findings-64,Reentrancy check in account_contract can be easily circumvented,findings-64,"Along with the issue findings-38, the attack path looks possible",Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/accounts/account_contract.cairo#L333,49,:robot:_62_group
validation-200,Potential Reentrancy Vulnerability in execute_starknet_call() and eth_send_transaction(),findings-64,dup of findings-64,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/accounts/account_contract.cairo#L333,52,:robot:_26_group
findings-56,L1 bridge messages can be lost due to unnecessary gas fee collection on Kakarot,findings-30,dup of findings-30,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/interpreter.cairo#L950,52,:robot:_09_group
validation-219,Execution gas price is fixed.,findings-30,dup of findings-30,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/interpreter.cairo#L950,53,:robot:_primary
findings-62,Kakarot's p256Verify implementation can return false negatives,findings-62,The PoC looks valid,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/precompiles/p256verify.cairo#L49,56,:robot:_primary
findings-34,"Transaction revert handling diverges from EVM spec, whenever EVM to Starknet contract call is involved.",findings-49,dup of findings-49,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/accounts/account_contract.cairo#L347,57,:robot:_23_group
findings-59,Incorrect L1 address aliasing prevents EOAs from operating their L2 wallets,findings-25,dup of findings-25,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/solidity_contracts/src/L1L2Messaging/L1KakarotMessaging.sol#L35,58,:robot:_05_group
validation-264,"`decode_legacy_tx` allows validation of signatures with chain_id that are larger than felt, and overflows",validation-264,Its possible for users to pass such invalid data,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/utils/eth_transaction.cairo#L72,59,:robot:_primary
validation-150,Lack of Validation for r and s in ec_recover Precompile Allows Signature Forgery and Denial of Service,findings-13,dup of findings-13,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/utils/signature.cairo#L10-L35,59,:robot:_primary
findings-65,`ExponentiationImpl::pow()` returns 0 for 0^0,findings-65,"0^0 should be 1, the EVM is correctly implemented as is",Satisfactory,https://github.com/kkrt-labs/kakarot-ssj/blob/d4a7873d6f071813165ca7c7adb2f029287d14ca/crates/utils/src/math.cairo#L42,59,:robot:_120_group
findings-68,handle_l1_message allows l2 tx to exceeds globally set block limit and diverges from EIP-1559,findings-30,dup of findings-30,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/interpreter.cairo#L950,60,:robot:_22_group
validation-126,Address aliasing should not applied to EOA account,findings-25,dup of findings-25,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/solidity_contracts/src/L1L2Messaging/L1KakarotMessaging.sol#L35,63,:robot:_05_group
validation-120,intrinsic gas consumption lack of error handling,validation-120,"Valid QA, as subtraction underflow in cairo would not cause panic",Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/interpreter.cairo#L923,63,:robot:_39_group
findings-51,Return value of ERC-20 operations is not checked,findings-51,"As a library for common use, it should strictly obey the ERC20 rule and check the returns",Satisfactory,"https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/solidity_contracts/src/CairoPrecompiles/DualVmToken.sol#L269,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/solidity_contracts/src/CairoPrecompiles/DualVmToken.sol#L353",66,:robot:_primary
validation-192,Out-of-Bounds Read in parse_storage_keys Function,validation-192,"The issue is indeed existing, but Insufficient proof that it would cause H severity as the report says",Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/utils/eth_transaction.cairo#L313,68,:robot:_02_group
validation-133,Unchecked External Call Success in execute_starknet_call and exec_precompile May Lead to Unexpected Behavior and Reentrancy Attacks,findings-64,dup of findings-64,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/accounts/account_contract.cairo#L333,70,:robot:_62_group
findings-24,execute_from_outside might return incorrect return_data_len,findings-24,Its better to return data with original length,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/accounts/library.cairo#L231,70,:robot:_primary
validation-211,execute_starknet_call can be used for reentrant attacks,findings-64,dup of findings-64,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/accounts/account_contract.cairo#L333,71,:robot:_primary
validation-91,"Missing balance check in handle_l1_message leads to underflow,  inflating the balance of the transaction sender",findings-30,dup of findings-30,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/interpreter.cairo#L950,71,:robot:_22_group
findings-61,Incorrect decoding of supply in DualVmToken,findings-61,total supply shoube be decoded as two uint128,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/solidity_contracts/src/CairoPrecompiles/DualVmToken.sol#L80-L83,71,:robot:_41_group
validation-121,Lack of error handling for token transfer,validation-121,Lack of error handling after add_transfer() fee to coinbase,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/interpreter.cairo#L1035,72,:robot:_primary
validation-59,Unauthorized Contracts Can Bypass Precompile Authorization via delegatecall in Kakarot zkEVM,findings-38,dup of findings-38,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/precompiles/precompiles.cairo#L135,73,:robot:_primary
findings-47,"In handle_l1_message flow, L1 sender with 0 ETH balance might either avoid paying EVM gas, or causing unhandled EVM reverts",findings-30,dup of findings-30,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/interpreter.cairo#L950,73,:robot:_22_group
validation-233,Unbounded Payload Size in L2 to L1 Communication Enables Gas Exhaustion Attacks and Unprocessable Messages,validation-233,"QA, as this type of attack only affects the sender self, other users' message will not be affected",Satisfactory,https://github.com/kkrt-labs/kakarot-lib/blob/c2c7cb400f85c3699a6902946bcf4428d5b4fc61/src/CairoLib.sol#L185,74,:robot:_primary
validation-187,Address aliasing is wrongfully applied even to EOAs,findings-25,dup of findings-25,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/solidity_contracts/src/L1L2Messaging/L1KakarotMessaging.sol#L35,74,:robot:_05_group
findings-49,Account contract does not gracefully handle panics in called contracts,findings-49,"Sponsors should have been aware of this issue, but not found in readme of the out of scope section",Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/accounts/account_contract.cairo#L347,74,:robot:_primary
validation-90,Insufficient input validation in ETH transaction decoder allows for manipulation of relative jump offset,validation-90,"While decoding, not all felt type data is limited in range [0, 255)",Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/utils/eth_transaction.cairo#L244-L268,78,:robot:_11_group
findings-67,Arbitrary jump destinations can be appended to contract accounts,findings-67,The teminated i should be strictly the code length,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/utils/utils.cairo#L938,79,:robot:_65_group
findings-42,Return value of `transfer` and `transferFrom` not checked in `DualVmToken` contract,findings-51,dup of findings-51,Satisfactory,"https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/solidity_contracts/src/CairoPrecompiles/DualVmToken.sol#L269,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/solidity_contracts/src/CairoPrecompiles/DualVmToken.sol#L353",79,:robot:_primary
validation-195,Users lose out on their funds if they self-destruct in the same tx,validation-161,dup of validation-161,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/backend/starknet.cairo#L189-L201,81,:robot:_primary
findings-50,RIPEMD-160 precompile yields wrong hashes for large set of inputs due to off-by-one error,findings-50,off-by-one error,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/a4c45215f7fd5cdd9fbbfd11196a9a787c6468df/cairo_zero/kakarot/precompiles/ripemd160.cairo#L455,82,:robot:_primary
findings-40,"Calls to the RIPEMD160 precompile can result in RPC-level reverts, bricking contracts",findings-21,mismatch binding of dict start and end,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/precompiles/ripemd160.cairo#L477,84,:robot:_48_group
findings-30,"Silent underflow in interpreter::execute inflates cached balance, causing unhandled revert, EVM gas will be undercharged",findings-30,L1 to L2 call can lead balance underflow,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/interpreter.cairo#L950,86,:robot:_22_group
findings-26,"Underconstrained hints in initailize_jumpdests, risk of manipulation of valid_jumpdests",findings-67,dup of findings-67,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/utils/utils.cairo#L938,86,:robot:_primary
findings-48,`DualVmToken` can be abused to cause RPC-level reverts by revoking native token approval to Kakarot,findings-48,The attack path is possible,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/solidity_contracts/src/CairoPrecompiles/DualVmToken.sol#L210,91,:robot:_primary
findings-54,Non-finalized dictionary in RIPEMD160 allows forging of output,findings-21,The PoC looks valid,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/precompiles/ripemd160.cairo#L477,93,:robot:_primary
validation-238,Underpaid Computation Attack Through Access List Manipulation,validation-192,Dup of validation-192,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/interpreter.cairo#L922-L930,97,:robot:_17_group
findings-37,"Invalid range check for block_number arg causes unhandled cairo tx panics, deviating from EVM behaviors",findings-37,Call BLOCKHASH for the 10 most recent blocks should return 0 rather than revert,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/instructions/block_information.cairo#L167,97,:robot:_21_group
findings-29,"handle_l1_message may unfairly revert l2 tx with sufficient l1 sender balance, due to vulnerable fee charge implementation",findings-30,dup of findings-30,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/interpreter.cairo#L950,99,:robot:_22_group
findings-25,Actors need to maintain two Kakarot accounts for L1 to L2 messaging,findings-25, EOA is aliased when sengding messages from L1 to L2,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/solidity_contracts/src/L1L2Messaging/L1KakarotMessaging.sol#L35,100,:robot:_primary
validation-244,Incorrect SIGNEXTEND Opcode Input Validation,validation-244,mismatch with geth on the edge case,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/utils/uint256.cairo#L317,101,:robot:_primary
validation-128,Malicious user can revoke native ERC20 token allowance to trigger unhandled panic when the code commits the state.,findings-48,dup of findings-48,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/solidity_contracts/src/CairoPrecompiles/DualVmToken.sol#L210,105,:robot:_primary
findings-39,Underconstrained output in `felt_to_bytes_little()` allows contract deployments to incorrect addresses,findings-39,"PoC looks valid, but have doubt why the check on L100-101 not working",Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/utils/bytes.cairo#L80,106,:robot:_primary
validation-64,Missing Check for Scalar Validity in ec_mul.cairo,validation-64,"as the report shows, it' s better to have a check parameters no more than the group order",Satisfactory,https://github.com/kkrt-labs/kakarot-ssj/blob/d4a7873d6f071813165ca7c7adb2f029287d14ca/crates/evm/src/precompiles/ec_operations/ec_mul.cairo#L54,108,:robot:_primary
validation-79,Missing Constraint in default_dict_copy,validation-79,dict finalize missing,Satisfactory,"https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/account.cairo#L83,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/utils/dict.cairo#L83",109,:robot:_primary
validation-88,The Interpreter.execute function does not judge the return value of State.add_transfer,validation-121,dup of validation-121,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/interpreter.cairo#L1035,111,:robot:_primary
validation-239,Precompile Execution Without Sufficient Gas In Kakarot,validation-239,"Similar to validation-238, gas charged after execution",Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/interpreter.cairo#L79-L100,112,:robot:_primary
validation-138,Incorrect ByteArray can be deserialized,validation-138,"mismatch implementation and doc, need sponsor's input to check if its a issue or not",Satisfactory,https://github.com/kkrt-labs/kakarot-lib/blob/c2c7cb400f85c3699a6902946bcf4428d5b4fc61/src/CairoLib.sol#L220,112,:robot:_07_group
validation-188, `pow()` doesn't correctly handle `0^0`,findings-65,dup of findings-65,Satisfactory,https://github.com/kkrt-labs/kakarot-ssj/blob/d4a7873d6f071813165ca7c7adb2f029287d14ca/crates/utils/src/math.cairo#L42,114,:robot:_primary
validation-236,Mitigating Caller Address Risks in StarkNet’s `eth_send_transaction` Function,validation-236,"directly calling eth_send_transaction() would revert due to address binding check, but it's a good pratice to check and return early, maybe QA is proper.",Satisfactory,"https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/eth_rpc.cairo#L203,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/eth_rpc.cairo#L313",116,:robot:_25_group
validation-157,Kakarot's cross chain messages can't get cancelled,findings-36,dup of findings-36,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/697100af34444b3931c18596cec56c454caf28ed/src/kakarot/kakarot.cairo#L370,116,:robot:_09_group
validation-241,Exponential Redundant Calculations in `uint256_fast_exp` used for EXP opcode,findings-2,Redundant calculations obviously increase starknet execution steps,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/utils/uint256.cairo#L369,118,:robot:_105_group
validation-269,L1 -> L2 messages do not have a balance check leading to balance overflow,findings-30,dup of findings-30,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/interpreter.cairo#L950,124,:robot:_22_group
validation-240,SDIV Opcode Performs Unnecessary SMOD Computation Despite Only Needing Division,validation-240,Valid QA,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/instructions/stop_and_math_operations.cairo#L198,124,:robot:_primary
validation-202,Underconstrained Hints in load_bytecode Function Allow Bytecode Manipulation,validation-202,Looks valid,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/b8f5f2a20bd733cc8885c010291885e1df7dc50e/cairo_zero/utils/utils.cairo#L959-L1063,126,:robot:_03_group
validation-57,Lack of verification for Invalid Points (Subgroup Checks) for coordinates can brick elliptic curve operations,validation-57,Missing sub group check,Satisfactory,"https://github.com/kkrt-labs/kakarot-ssj/blob/d4a7873d6f071813165ca7c7adb2f029287d14ca/crates/evm/src/precompiles/ec_operations/ec_add.cairo#L78,https://github.com/kkrt-labs/kakarot-ssj/blob/d4a7873d6f071813165ca7c7adb2f029287d14ca/crates/evm/src/precompiles/ec_operations/ec_add.cairo#L90,https://github.com/kkrt-labs/kakarot-ssj/blob/d4a7873d6f071813165ca7c7adb2f029287d14ca/crates/evm/src/precompiles/ec_operations/ec_add.cairo#L104,https://github.com/kkrt-labs/kakarot-ssj/blob/d4a7873d6f071813165ca7c7adb2f029287d14ca/crates/evm/src/precompiles/ec_operations/ec_mul.cairo#L66,https://github.com/kkrt-labs/kakarot-ssj/blob/d4a7873d6f071813165ca7c7adb2f029287d14ca/crates/evm/src/precompiles/ec_operations.cairo#L22",138,:robot:_15_group
findings-3,Opcode `BLOCKHASH` for last 10 block numbers make starkent transaction revert,findings-37,dup of findings-37,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/instructions/block_information.cairo#L167,138,:robot:_primary
validation-193,Out-of-Bounds Read in `parse_access_list` Function,validation-192,dup of validation-192,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/utils/eth_transaction.cairo#L313,140,:robot:_02_group
validation-230,Unchecked Memory Access and Integer Overflow Risks Lead to Arbitrary Memory Corruption,validation-232,dup of validation-232,Satisfactory,https://github.com/kkrt-labs/kakarot-lib/blob/c2c7cb400f85c3699a6902946bcf4428d5b4fc61/src/CairoLib.sol#L203,151,:robot:_00_group
validation-109,Failure in Transaction Execution Due to Incorrect Caller Verification in `eth_send_raw_unsigned_tx` and `execute_from_outside` functions,validation-236,dup of validation-236,Satisfactory,"https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/eth_rpc.cairo#L203,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/eth_rpc.cairo#L313",151,:robot:_25_group
validation-98,RIPEMD160 precompile crashes with a Cairo exception for some input lengths,findings-21,dup of findings-21,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/precompiles/ripemd160.cairo#L477,158,:robot:_48_group
validation-47,Missing enforcement of Lower s Value allows for signature malleability,findings-13,dup of findings-13,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/utils/signature.cairo#L10-L35,166,:robot:_primary
findings-35,Wrong RIPEMD-160 hash when (input length & 63) is exactly 55,findings-50,dup of findings-50,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/a4c45215f7fd5cdd9fbbfd11196a9a787c6468df/cairo_zero/kakarot/precompiles/ripemd160.cairo#L455,174,:robot:_primary
validation-232,Unvalidated Word Alignment and Boundary Checks Allow Memory Corruption Through Misaligned Data Access,validation-232,Missing sound Memory address overflow and security check,Satisfactory,https://github.com/kkrt-labs/kakarot-lib/blob/c2c7cb400f85c3699a6902946bcf4428d5b4fc61/src/CairoLib.sol#L203,191,:robot:_primary
validation-231,Missing Length Verification Between Computed and Actual Data Size Enables Memory Corruption,validation-232,dup of validation-232,Satisfactory,https://github.com/kkrt-labs/kakarot-lib/blob/c2c7cb400f85c3699a6902946bcf4428d5b4fc61/src/CairoLib.sol#L203,196,:robot:_07_group
validation-110,Prover can cheat in felt_to_bytes_little due to value underflow,findings-39,dup of findings-39,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/utils/bytes.cairo#L80,197,:robot:_03_group
findings-14,EXP can make VM run out of resources,findings-2,dup of findings-2,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/utils/uint256.cairo#L369,198,:robot:_primary
findings-2,Opcode `EXP` for large even number can make starkent transaction revert due to running out of steps,findings-2,EXP Redundant calculations obviously increase starknet execution steps,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/utils/uint256.cairo#L369,200,:robot:_primary
findings-5,Blockhash revert issue in last 10 blocks,findings-37,dup of findings-37,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/instructions/block_information.cairo#L167,203,:robot:_primary
validation-242,Event Limit Attack: Free Transaction Execution Due to Starknet Event Limit,validation-242,A specific case of findings-19,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/state.cairo#L344,209,:robot:_primary
